Sl. No.,State/UT,Percentage of TB Cases Out of the Total TB Cases Notified in 2023 (January-December) - 0 to 14 years,Percentage of TB Cases Out of the Total TB Cases Notified in 2023 (January-December) - 15 years to 30 years,Percentage of TB Cases Out of the Total TB Cases Notified in 2023 (January-December) - 31 years to 45 years,Percentage of TB Cases Out of the Total TB Cases Notified in 2023 (January-December) - 46 years to 60 years,Percentage of TB Cases Out of the Total TB Cases Notified in 2023 (January-December) - > 60 years,Percentage of TB Cases out of the Total TB Cases Notified in 2024 (January-October) - 0 to 14 years,Percentage of TB Cases out of the Total TB Cases Notified in 2024 (January-October) - 15 years to 30 years,Percentage of TB Cases out of the Total TB Cases Notified in 2024 (January-October) - 31 years to 45 years,Percentage of TB Cases out of the Total TB Cases Notified in 2024 (January-October) - 46 years to 60 years,Percentage of TB Cases out of the Total TB Cases Notified in 2024 (January-October) - > 60 years
1,Andaman and Nicobar Islands,4,27,27,26,16,4,24,31,22,19
2,Andhra Pradesh,3,17,24,30,26,3,17,25,30,25
3,Arunachal Pradesh,9,44,23,14,10,10,41,24,15,10
4,Assam,3,26,29,25,17,3,26,28,25,18
5,Bihar,10,34,23,18,15,10,34,22,18,16
6,Chandigarh,8,35,26,17,14,9,36,25,17,13
7,Chhattisgarh,6,25,27,24,18,5,26,27,24,18
8,Dadra and Nagar Haveli and Daman and Diu,6,41,31,14,8,7,43,29,15,6
9,Delhi,10,43,24,14,9,11,43,23,13,10
10,Goa,3,25,28,24,20,3,26,25,26,20
11,Gujarat,5,30,28,22,15,4,30,28,22,16
12,Haryana,5,32,25,19,19,6,32,25,19,18
13,Himachal Pradesh,3,27,24,21,25,3,28,22,22,25
14,Jammu and Kashmir,5,27,22,21,25,5,28,21,20,26
15,Jharkhand,5,29,28,23,15,4,29,29,23,15
16,Karnataka,4,22,28,25,21,4,22,27,26,21
17,Kerala,2,13,17,32,36,2,14,18,32,34
18,Ladakh,3,16,14,18,49,3,15,16,16,50
19,Lakshadweep,0,42,25,8,25,0,8,25,33,34
20,Madhya Pradesh,7,30,27,21,15,7,30,27,21,15
21,Maharashtra,5,31,27,20,17,5,31,26,20,18
22,Manipur,3,17,21,25,34,3,19,20,24,34
23,Meghalaya,6,35,30,18,11,7,34,31,19,9
24,Mizoram,8,31,32,16,13,6,32,30,18,14
25,Nagaland,6,35,29,17,13,6,34,30,17,13
26,Odisha,4,24,27,27,18,4,24,27,26,19
27,Puducherry,2,16,25,33,24,3,17,25,31,24
28,Punjab,5,33,24,19,19,5,34,24,19,18
29,Rajasthan,5,28,26,21,20,5,28,26,21,20
30,Sikkim,4,38,27,15,16,3,35,30,18,14
31,Tamil Nadu,3,16,23,33,25,3,16,23,33,25
32,Telangana,3,22,26,28,21,3,23,26,27,21
33,Tripura,2,17,27,31,23,2,18,24,31,25
34,Uttar Pradesh,6,34,24,20,16,7,34,23,20,16
35,Uttarakhand,5,32,23,20,20,5,33,23,20,19
36,West Bengal,3,27,26,25,19,3,27,26,25,19
