Sl. No.,State/UT,2023 - TB Patients Notified,2023 - Treated Successfully,2024 - TB Patients Notified
1,Andaman and Nicobar Islands,488,369,533
2,Andhra Pradesh,86033,82215,81804
3,Arunachal Pradesh,2606,1948,2939
4,Assam,50180,44878,49389
5,Bihar,184706,155580,203853
6,Chandigarh,3912,3050,4108
7,Chhattisgarh,37473,33401,38957
8,Dadra and Nagar Haveli and Daman and Diu,822,725,790
9,Delhi,82426,64098,90281
10,Goa,1823,1376,1973
11,Gujarat,133898,122604,129465
12,Haryana,75745,66862,83673
13,Himachal Pradesh,15399,13577,15621
14,Jammu and Kashmir,11382,9808,11964
15,Jharkhand,60592,54623,63913
16,Karnataka,74493,65094,74135
17,Kerala,20558,17117,20214
18,Ladakh,328,257,318
19,Lakshadweep,13,12,14
20,Madhya Pradesh,178884,156839,177525
21,Maharashtra,205909,182758,214670
22,Manipur,2522,1813,2561
23,Meghalaya,4493,3840,4318
24,Mizoram,2115,1541,2163
25,Nagaland,4192,3278,4009
26,Odisha,60766,56259,59483
27,Puducherry,1507,1156,1355
28,Punjab,56264,46305,60456
29,Rajasthan,159302,141911,168059
30,Sikkim,1189,973,1169
31,Tamil Nadu,92945,82468,91318
32,Telangana,72100,66459,74711
33,Tripura,3425,2758,3422
34,Uttar Pradesh,613851,566490,670590
35,Uttarakhand,25674,23113,28382
36,West Bengal,97535,84928,97332
