stateut,2020,2021,2022,2023,source_file,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,source_file_rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,source_file_rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,tb_cases_notification_in_2024_january_to_october,tb_deaths__2024_january_to_october,source_file_rs_RS_Session_266_AU_2511_1_clean.csv,2023__tb_patients_notified,2023__treated_successfully,2024__tb_patients_notified,source_file_rs_RS_Session_267_AU_3467_1_clean.csv,state_ut,Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who consume alcohol (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%)
Andhra Pradesh,64065,86832,92187,37609,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,17,24,30,26,3,17,25,30,25,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.7,0.7,1.5,1.6,2.7,0.6,0.8,1.4,1.9,2.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,69371,1208,rs_RS_Session_266_AU_2511_1_clean.csv,86033,82215,81804,rs_RS_Session_267_AU_3467_1_clean.csv,Andhra Pradesh,30.383846153846154,28.766153846153845,16.096153846153847,63.46692307692308,22.416923076923077,4.178461538461539,23.354615384615386,76.69692307692308,82.86384615384615
Arunachal Pradesh,2522,2724,2863,1126,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,9,44,23,14,10,10,41,24,15,10,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.0,1.0,2.2,5.0,5.5,1.0,0.9,2.2,8.2,9.6,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2430,65,rs_RS_Session_266_AU_2511_1_clean.csv,2606,1948,2939,rs_RS_Session_267_AU_3467_1_clean.csv,Arunachal Pradesh,26.74,14.116999999999999,13.357499999999998,56.617999999999995,49.3705,18.157,53.023,84.53049999999999,52.281000000000006
Assam,35261,37641,47822,21155,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,26,29,25,17,3,26,28,25,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.8,2.0,3.1,5.0,6.5,1.5,1.9,3.2,4.5,6.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,42202,1533,rs_RS_Session_266_AU_2511_1_clean.csv,50180,44878,49389,rs_RS_Session_267_AU_3467_1_clean.csv,Assam,35.69181818181818,31.59454545454545,20.689999999999998,69.80787878787878,52.94212121212121,22.315151515151513,28.832424242424242,70.10333333333332,39.919696969696965
Bihar,98994,131703,161165,77278,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,10,34,23,18,15,10,34,22,18,16,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.5,1.3,2.5,4.8,7.7,1.0,1.1,2.2,4.2,6.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,167193,4116,rs_RS_Session_266_AU_2511_1_clean.csv,184706,155580,203853,rs_RS_Session_267_AU_3467_1_clean.csv,Bihar,42.58289473684211,41.72026315789474,24.240263157894738,70.07973684210526,48.85026315789474,4.785,15.945263157894736,49.47210526315789,36.35763157894737
Chandigarh,4294,4720,6066,1693,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,8,35,26,17,14,9,36,25,17,13,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.6,1.3,3.5,8.5,15.0,3.1,1.5,4.1,5.9,9.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,5885,129,rs_RS_Session_266_AU_2511_1_clean.csv,3912,3050,4108,rs_RS_Session_267_AU_3467_1_clean.csv,Chandigarh,25.3,20.56,8.41,54.58,12.06,0.56,18.63,84.98,95.81
Chhattisgarh,29339,32416,38521,15791,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,25,27,24,18,5,26,27,24,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.9,2.4,4.1,7.0,11.5,1.9,2.2,4.2,6.4,10.2,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,32526,1571,rs_RS_Session_266_AU_2511_1_clean.csv,37473,33401,38957,rs_RS_Session_267_AU_3467_1_clean.csv,Chhattisgarh,35.67333333333334,33.218148148148146,19.08185185185185,68.99259259259259,45.7925925925926,21.00777777777778,37.85333333333333,72.79962962962962,28.255555555555556
Goa,1660,2018,2091,871,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,25,28,24,20,3,26,25,26,20,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,6.7,2.7,5.4,12.4,19.7,4.0,1.0,5.9,8.2,18.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,1710,117,rs_RS_Session_266_AU_2511_1_clean.csv,1823,1376,1973,rs_RS_Session_267_AU_3467_1_clean.csv,Goa,26.240000000000002,23.439999999999998,19.53,52.599999999999994,18.055,2.58,37.465,87.955,96.465
Gujarat,120560,144731,151912,60585,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,30,28,22,15,4,30,28,22,16,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.7,1.6,3.6,5.7,8.7,1.7,1.7,3.4,5.4,7.9,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,113431,4413,rs_RS_Session_266_AU_2511_1_clean.csv,133898,122604,129465,rs_RS_Session_267_AU_3467_1_clean.csv,Gujarat,38.65272727272727,40.329090909090915,26.133333333333333,79.83757575757575,44.21333333333333,9.74969696969697,6.304242424242425,71.73,59.842121212121214
Haryana,62697,69083,75838,34531,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,32,25,19,19,6,32,25,19,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.1,1.2,2.9,6.7,8.9,1.3,1.3,2.9,5.5,9.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,73703,2505,rs_RS_Session_266_AU_2511_1_clean.csv,75745,66862,83673,rs_RS_Session_267_AU_3467_1_clean.csv,Haryana,26.538636363636364,20.905454545454546,11.539545454545454,69.61727272727272,29.09363636363636,2.5309090909090908,15.90318181818182,85.03090909090909,57.82818181818182
Himachal Pradesh,13424,14492,16089,6924,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,27,24,21,25,3,28,22,22,25,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.0,0.8,2.8,6.2,14.6,1.6,1.0,2.3,5.8,14.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,13429,723,rs_RS_Session_266_AU_2511_1_clean.csv,15399,13577,15621,rs_RS_Session_267_AU_3467_1_clean.csv,Himachal Pradesh,31.540833333333335,24.674166666666665,16.103333333333335,59.94,33.4525,1.82,33.73583333333333,80.8925,53.64666666666667
