stateut,2020,2021,2022,2023
Andaman and Nicobar Islands,478,507,534,295
Andhra Pradesh,64065,86832,92187,37609
Arunachal Pradesh,2522,2724,2863,1126
Assam,35261,37641,47822,21155
Bihar,98994,131703,161165,77278
Chandigarh,4294,4720,6066,1693
Chhattisgarh,29339,32416,38521,15791
Dadra And Nagar Haveli And Daman And Diu,965,1013,1399,368
Delhi,86842,103038,106731,37361
Goa,1660,2018,2091,871
Gujarat,120560,144731,151912,60585
Haryana,62697,69083,75838,34531
Himachal Pradesh,13424,14492,16089,6924
Jammu And Kashmir,8830,10826,11804,5253
Jharkhand,45505,52179,57320,23890
Karnataka,65785,72435,80416,31794
Kerala,20835,21872,23388,9113
Ladakh,239,291,320,167
Lakshadweep,20,12,11,6
Madhya Pradesh,137648,166346,186293,72591
Maharashtra,159663,199976,234105,90215
Manipur,1563,1793,2554,900
Meghalaya,4139,4152,4989,2057
Mizoram,2334,1749,2085,981
Nagaland,3487,3648,4125,1896
Odisha,45628,52381,60372,25939
Puducherry,2762,3444,3835,652
Punjab,46198,50142,55150,24800
Rajasthan,137343,149225,169522,69222
Sikkim,1326,1373,1395,615
Tamil Nadu,70304,82823,93879,40923
Telangana,63209,60714,72941,31094
Tripura,2071,2543,3024,1467
Uttar Pradesh,366641,453712,522850,253988
Uttarakhand,20000,22789,27553,10976
West Bengal,79039,90487,100972,44210
