stateut,tb_cases_notification_in_2024_january_to_october,tb_deaths__2024_january_to_october
Andaman and Nicobar Islands,445,13
Andhra Pradesh,69371,1208
Arunachal Pradesh,2430,65
Assam,42202,1533
Bihar,167193,4116
Chandigarh,5885,129
Chhattisgarh,32526,1571
Dadra And Nagar Haveli And Daman And Diu,889,4
Delhi,88868,1523
Goa,1710,117
Gujarat,113431,4413
Haryana,73703,2505
Himachal Pradesh,13429,723
Jammu And Kashmir,10442,313
Jharkhand,53213,1272
Karnataka,65186,3711
Kerala,17267,1540
Ladakh,235,5
Lakshadweep,6,1
Madhya Pradesh,149093,5152
Maharashtra,186706,6069
Manipur,2067,67
Meghalaya,3890,180
Mizoram,1985,102
Nagaland,3419,93
Odisha,48917,2064
Puducherry,2843,90
Punjab,49739,2049
Rajasthan,145405,3341
Sikkim,1122,33
Tamil Nadu,77820,4112
Telangana,62722,1004
Tripura,2760,151
Uttar Pradesh,563573,14229
Uttarakhand,24984,791
West Bengal,83962,4269
