year,population,incidence,incidence_ci_low,incidence_ci_high,mortality,mortality_ci_low,mortality_ci_high,cdr,cdr_ci_low,cdr_ci_high,notifications
2000,1057922722,3400000.0,1160000.0,6810000.0,1040000.0,707000.0,1440000.0,33.0,16.0,96.0,1115718.0
2001,1077898574,3460000.0,1190000.0,6920000.0,979000.0,675000.0,1340000.0,31.0,16.0,91.0,1085075.0
2002,1097600382,3510000.0,1210000.0,7000000.0,915000.0,638000.0,1240000.0,30.0,15.0,88.0,1060951.0
2003,1116802995,3550000.0,1230000.0,7060000.0,848000.0,595000.0,1140000.0,30.0,15.0,87.0,1073282.0
2004,1135991522,3580000.0,1260000.0,7070000.0,779000.0,549000.0,1050000.0,32.0,16.0,90.0,1136182.0
2005,1154676330,3590000.0,1280000.0,7040000.0,750000.0,528000.0,1010000.0,32.0,16.0,90.0,1156248.0
2006,1172878890,3580000.0,1310000.0,6960000.0,729000.0,514000.0,981000.0,34.0,18.0,94.0,1228827.0
2007,1190676022,3550000.0,1340000.0,6830000.0,692000.0,521000.0,886000.0,36.0,19.0,97.0,1295943.0
2008,1207930973,3520000.0,1360000.0,6670000.0,672000.0,478000.0,899000.0,38.0,20.0,98.0,1332267.0
2009,1225524748,3470000.0,1390000.0,6490000.0,621000.0,443000.0,827000.0,39.0,21.0,97.0,1351913.0
2010,1243481553,3430000.0,1410000.0,6320000.0,581000.0,417000.0,771000.0,39.0,21.0,95.0,1339866.0
2011,1261224955,3380000.0,1750000.0,5550000.0,558000.0,407000.0,732000.0,39.0,24.0,76.0,1323949.0
2012,1278674506,3300000.0,1800000.0,5240000.0,531000.0,389000.0,693000.0,39.0,25.0,72.0,1289836.0
2013,1295829516,3220000.0,1830000.0,4990000.0,497000.0,384000.0,623000.0,39.0,25.0,68.0,1243905.0
2014,1312277198,3190000.0,2240000.0,4310000.0,451000.0,350000.0,565000.0,50.0,37.0,72.0,1609547.0
2015,1328024502,3140000.0,2400000.0,3990000.0,426000.0,330000.0,534000.0,53.0,42.0,69.0,1667136.0
2016,1343944301,3030000.0,2560000.0,3530000.0,395000.0,304000.0,498000.0,58.0,50.0,69.0,1763876.0
2017,1359657407,2950000.0,2620000.0,3290000.0,379000.0,291000.0,477000.0,56.0,50.0,63.0,1649694.0
2018,1374659072,2860000.0,2550000.0,3200000.0,368000.0,283000.0,463000.0,67.0,60.0,75.0,1908683.0
2019,1389030316,2810000.0,2490000.0,3150000.0,341000.0,260000.0,433000.0,77.0,69.0,87.0,2162323.0
2020,1402617699,2770000.0,2400000.0,3200000.0,316000.0,250000.0,394000.0,59.0,51.0,68.0,1629301.0
2021,1414203891,2770000.0,2400000.0,3210000.0,332000.0,260000.0,421000.0,71.0,61.0,82.0,1965444.0
2022,1425423217,2790000.0,2420000.0,3240000.0,331000.0,260000.0,413000.0,81.0,70.0,93.0,2255641.0
2023,1438069593,2760000.0,2380000.0,3210000.0,315000.0,246000.0,392000.0,86.0,74.0,100.0,2382714.0
2024,1450935788,2710000.0,2330000.0,3160000.0,305000.0,235000.0,380000.0,92.0,79.0,110.0,2498584.0
