Sl. No.,State/UT,Percentage of TB Deaths of Total TB Cases Reported in 2023 (January-December) - 0 to 14 years,Percentage of TB Deaths of Total TB Cases Reported in 2023 (January-December) - 15 years to 30 years,Percentage of TB Deaths of Total TB Cases Reported in 2023 (January-December) - 31 years to 45 years,Percentage of TB Deaths of Total TB Cases Reported in 2023 (January-December) - 46 years to 60 years,Percentage of TB Deaths of Total TB Cases Reported in 2023 (January-December) - >60 years,Percentage of TB Deaths of Total TB Cases Reported in 2024 (January-October) - 0 to 14 years,Percentage of TB Deaths of Total TB Cases Reported in 2024 (January-October) - 15 years to 30 years,Percentage of TB Deaths of Total TB Cases Reported in 2024 (January-October) - 31 years to 45 years,Percentage of TB Deaths of Total TB Cases Reported in 2024 (January-October) - 46 years to 60 years,Percentage of TB Deaths of Total TB Cases Reported in 2024 (January-October) - >60 years
1,Andaman and Nicobar Islands,0,0,2.4,3.9,8.2,7.7,0,5.4,1.7,7.1
2,Andhra Pradesh,0.7,0.7,1.5,1.6,2.7,0.6,0.8,1.4,1.9,2.5
3,Arunachal Pradesh,2,1,2.2,5,5.5,1,0.9,2.2,8.2,9.6
4,Assam,1.8,2,3.1,5,6.5,1.5,1.9,3.2,4.5,6.7
5,Bihar,1.5,1.3,2.5,4.8,7.7,1,1.1,2.2,4.2,6.3
6,Chandigarh,1.6,1.3,3.5,8.5,15,3.1,1.5,4.1,5.9,9
7,Chhattisgarh,1.9,2.4,4.1,7,11.5,1.9,2.2,4.2,6.4,10.2
8,Dadra and Nagar Haveli and Daman and Diu,0,0.8,1.1,8.6,9.8,0,0.3,0.4,0,4.3
9,Delhi,1,1,2.3,5,8.5,1.1,0.9,2.2,4,7.1
10,Goa,6.7,2.7,5.4,12.4,19.7,4,1,5.9,8.2,18.1
11,Gujarat,1.7,1.6,3.6,5.7,8.7,1.7,1.7,3.4,5.4,7.9
12,Haryana,1.1,1.2,2.9,6.7,8.9,1.3,1.3,2.9,5.5,9.3
13,Himachal Pradesh,1,0.8,2.8,6.2,14.6,1.6,1,2.3,5.8,14.5
14,Jammu and Kashmir,2.1,0.4,1.7,4.6,8.8,1.6,0.8,1.8,3.3,7.6
15,Jharkhand,1.3,1.3,2.5,4,4.9,1.1,1.3,2.4,3.4,4.8
16,Karnataka,1.2,2.2,5.7,8.3,13.5,1.4,2.1,4.9,6.8,11.7
17,Kerala,0.6,1.2,3.1,6.9,16.9,0.7,1.4,3.4,7.4,16.9
18,Ladakh,0,1.4,0,1.7,8.6,0,2,0,2.2,2.1
19,Lakshadweep,0,0,0,0,0,0,16.7,0,0,0
20,Madhya Pradesh,1.2,1.7,3,5.1,8,1.2,1.6,3,4.8,7.7
21,Maharashtra,1.4,1.4,3.4,5.9,8.9,1.6,1.2,2.8,4.7,8.1
22,Manipur,1.3,1.1,2.4,3.8,5.7,1.7,1.1,2.2,1.9,6
23,Meghalaya,2.9,1.8,4.3,7.7,9.6,2.5,1.7,3.7,8.3,12.6
24,Mizoram,0.7,1.6,3.3,5.9,13.3,3.4,2.6,5.8,4.6,16.3
25,Nagaland,1.8,0.8,2.8,3.3,5.1,1.5,1.4,2.3,3.9,5
26,Odisha,1.7,1.8,3.5,5.6,8.8,1.2,1.7,3.2,5.2,7.8
27,Puducherry,0,2.6,6,9,14.8,5.3,3,4.4,10.3,11.5
28,Punjab,2.1,1.8,3.3,6.2,12.1,1.4,1.5,3.4,5.9,10.1
29,Rajasthan,1,1.1,2.1,3.7,6.3,1,0.9,2,3.1,5.3
30,Sikkim,2.2,1.9,2.4,3.8,9.8,0,1,1.6,3.8,12.2
31,Tamil Nadu,1.1,1.5,4.1,6.3,10.5,1.2,1.6,4.1,6,9
32,Telangana,1.2,0.8,2,2.5,4.4,0.7,0.6,1.5,1.7,3.2
33,Tripura,2,1.8,2.5,6.7,10.9,0,1.5,3.1,6.4,9.8
34,Uttar Pradesh,1.2,1.2,2.3,4.2,7.5,1,1.1,2.2,4.3,6.8
35,Uttarakhand,0.8,1.1,2.3,4.6,9,1.2,1.2,2.4,4.7,9.4
36,West Bengal,2.5,1.5,3.5,7.4,11.6,3,1.7,3.5,6.6,11.7
