state,incidence_mean,incidence_low,incidence_high,incidence_range
Uttar Pradesh,723028.2685512367,658191.7677454852,787864.7693569883,",.2f"
Bihar,322912.5874125874,293955.8741765822,351869.30064859265,",.2f"
Maharashtra,257386.25,234305.51508080674,280466.98491919326,",.2f"
Madhya Pradesh,236932.45033112582,215685.87993411496,258179.02072813667,",.2f"
Rajasthan,199127.5,181271.0331428091,216983.9668571909,",.2f"
Gujarat,167372.5,152363.61624936192,182381.38375063808,",.2f"
West Bengal,121918.75,110985.8646946296,132851.6353053704,",.2f"
Tamil Nadu,116181.25,105762.86660216689,126599.63339783311,",.2f"
Andhra Pradesh,107541.25,97897.64594528188,117184.85405471812,",.2f"
Delhi,103032.5,93793.21149658624,112271.78850341376,",.2f"
