state,mcmc_missed_mean,mcmc_missed_ci_low,mcmc_missed_ci_high,system_score,risk_score,system_z,risk_z
Andhra Pradesh,12925.020457196719,0.0,69271.73288672633,0.78855,-0.7739240902660149,0.4397765339339582,-0.6091789423224266
Arunachal Pradesh,46954.2548851815,35374.85393934227,92120.64716412075,0.68335,-0.18123867770491198,-0.6058143313524316,-0.14265841751255492
Assam,70023.04734118632,27246.188866580676,97514.59041302101,0.5956499999999999,1.3943395271220533,-1.4774713549799652,1.097526603776614
Bihar,1098951.106456512,159024.5518155835,1656742.1019188066,0.5328999999999999,2.4184033618966128,-2.1011484157852975,1.9035980668372707
Chandigarh,63727.821723366746,45233.8650646734,91611.33170107247,0.76895,-2.211047995366883,0.2449706312760381,-1.7403824175814864
Chhattisgarh,29996.707104568053,0.0,61556.37696225164,0.7278000000000001,1.5545162537832136,-0.1640223735389321,1.2236065257733242
Goa,50528.82148402712,33495.96293429627,64122.82550195673,0.7382500000000001,-1.6416159010449767,-0.06015902237692889,-1.2921652793551381
Gujarat,5802.213783187488,0.0,59110.72856828541,0.8273,0.9296880285386095,0.8249157547500009,0.7317854257777483
Haryana,3876.035585972685,0.0,14028.852401123804,0.7858499999999999,-0.8950846700648463,0.41294102693516266,-0.7045480809515839
Himachal Pradesh,147724.2492953846,104766.96008125613,196605.6069195898,0.92685,-0.1541407002681434,1.8143508368722447,-0.12132878397144928
Jharkhand,47518.073237837016,25621.3433757678,69340.19938078392,0.6673999999999999,2.527775651766146,-0.764342604178649,1.98968828770015
Karnataka,28035.50059312211,4244.181414620238,56745.343057424776,0.7666,-0.24406856153758832,0.2216138011104193,-0.1921137099124528
Kerala,29637.265576850517,13484.264639867508,90607.73603479977,0.7814499999999999,-2.119733799386946,0.36920908960379206,-1.668506265868777
Ladakh,27220.808245723172,20199.65866441309,38584.77447213655,0.7900499999999999,1.0733866095816853,0.4546851489332883,0.8448949034565806
Lakshadweep,101164.74365923426,72106.25183111284,136143.90094473315,0.8864000000000001,-1.4503455520656456,1.4123151857236291,-1.1416106314841556
Madhya Pradesh,2509.889019150853,0.0,18295.937450704223,0.57405,1.2594710893710839,-1.6921554109703263,0.991367597621923
Manipur,81570.12365662519,53420.166211726464,164356.17357441192,0.5986,-0.0032556449393837394,-1.4481510788146137,-0.0025626161088607596
Meghalaya,26184.306272096426,16409.156711069936,53208.297203151335,0.6356999999999999,0.8947242935623576,-1.0794113344978364,0.7042644177611175
Mizoram,53665.103354698076,31751.655336976335,119575.35448780806,0.9150000000000001,-0.9547875802235195,1.6965727783775344,-0.7515420382679021
Nagaland,28041.327621301753,18235.756861979815,60326.31138664285,0.74175,0.08343044633666308,-0.025372254045157878,0.06567061511082706
Odisha,16542.43276341278,4773.55862178246,52430.91252473758,0.8245499999999999,1.7458567397164246,0.7975832939178933,1.3742163805514436
Puducherry,77861.98428494741,53260.98853074383,101272.39813031437,0.97575,-1.9442046813031024,2.3003716858504246,-1.5303420145604212
Punjab,24273.611321154298,4208.979214878611,78921.33936138611,0.6717000000000001,-1.524221516753399,-0.7216045745138991,-1.1997606265515863
Rajasthan,220526.59440682238,64336.76769146626,338059.4689795868,0.7142499999999999,0.8332883961150765,-0.29869686236622073,0.6559063739965154
Sikkim,56450.79196983183,32652.381539189097,68247.12211770995,0.6929,-1.1232478856399073,-0.5108961491900269,-0.8841422143931787
Tamil Nadu,3698.4722434869454,0.0,23829.49115305363,0.7904,-0.828842243770608,0.4581638257664662,-0.6524066736813632
Telangana,14209.557012301739,0.0,46031.38047984091,0.8373,-0.15006976686988788,0.9243065214122054,-0.11812442978089562
Tripura,43908.317231851266,32036.625510800783,63826.70179505697,0.60115,1.4120658227832588,-1.4228064333157522,1.111479504555909
Uttar Pradesh,15104.334086790328,0.0,75204.26432425203,0.62415,0.8870260016406508,-1.194207669992682,0.6982048605131415
Uttarakhand,8078.044630319028,0.0,34454.9398121141,0.7441500000000001,-0.4323507632148784,-0.0015184700462281394,-0.34031629711514
West Bengal,2402.6290461088465,0.0,12197.970091400683,0.7605999999999999,1.2374364805641611,0.16197934111309664,0.9740234939090177
