state,mcmc_missed_mean,mcmc_missed_ci_low,mcmc_missed_ci_high,state_ut,stunting_pct,underweight_pct,wasting_pct,anemia_pct,male_tobacco_pct,female_tobacco_pct,male_alcohol_pct,sanitation_pct,cleanfuel_pct,dm_known_pct,dm_treated_pct,tob_known_pct,tob_linkage_pct,alc_known_pct,alc_linkage_pct,system_pc1,system_pc2,system_pc3,risk_pc1,risk_pc2,risk_pc3,system_weighted,stunting_pct_z,underweight_pct_z,wasting_pct_z,anemia_pct_z,male_tobacco_pct_z,female_tobacco_pct_z,male_alcohol_pct_z,sanitation_pct_z,cleanfuel_pct_z,risk_weighted,system_weighted_z,risk_weighted_z
Andhra Pradesh,12925.020457196719,0.0,69271.73288672633,Andhra Pradesh,30.383846153846157,28.766153846153845,16.096153846153847,63.46692307692308,22.41692307692308,4.178461538461539,23.354615384615386,76.69692307692308,82.86384615384615,0.9890000000000001,0.713,0.9620000000000001,0.251,0.9620000000000001,0.231,1.1200466378164475,-1.5087231373411698,-0.7918219709087688,0.05714679434857689,-1.2610542865611203,0.002500182207883286,0.78855,-0.21689526188360564,0.3594550243951788,-0.11976569196090672,0.19585796846509776,-1.0294755920809995,-0.6265497272094439,-0.23705652318485157,0.03623475786113177,1.1364993665545784,-0.8255713198449308,0.4400986771693671,-0.62848332922893
Arunachal Pradesh,46954.2548851815,35374.85393934227,92120.64716412075,Arunachal Pradesh,26.74,14.117,13.357499999999998,56.618,49.3705,18.157,53.023,84.53049999999999,52.281000000000006,0.79,0.475,0.75,0.564,0.7440000000000001,0.5710000000000001,-1.1364610536598556,2.2765624046275765,0.23653058658338205,-2.177430318494072,1.1855034526299508,1.8737113134638472,0.68335,-0.8849051637399954,-1.4968695201367335,-0.7307006528226773,-0.36280651313896106,0.6675069378731949,0.3061264653916544,2.3225838498073736,0.6188680234508559,-0.26479073720935226,-0.20261929980162952,-0.5324904710211481,-0.15424815402899655
Assam,70023.04734118632,27246.188866580676,97514.59041302101,Assam,35.69181818181818,31.59454545454545,20.69,69.80787878787878,52.94212121212121,22.315151515151516,28.83242424242424,70.10333333333332,39.919696969696965,0.812,0.39299999999999996,0.7170000000000001,0.18899999999999997,0.708,0.24600000000000002,-2.5191809243956094,0.533060602756715,-0.29765056514783095,1.5416166348947629,1.0360456710161567,0.42061526491382906,0.5956499999999999,0.7561913405020099,0.7178656752317752,0.905022900488076,0.7130877132510235,0.8923742650513651,0.5835666952183121,0.23554152654891206,-0.45417272290918237,-0.831179212593692,1.3289116986502192,-1.3432895993130523,1.0116616560466751
Bihar,1098951.106456512,159024.5518155835,1656742.1019188066,Bihar,42.58289473684211,41.72026315789474,24.240263157894734,70.07973684210526,48.85026315789474,4.785,15.945263157894736,49.47210526315789,36.35763157894737,0.7709999999999999,0.486,0.544,0.222,0.48200000000000004,0.254,-4.059386402583878,1.1096561335184778,1.1339311360983897,3.5911407604573506,0.021666809394901877,-0.40660224083104735,0.5328999999999999,2.0195013648145106,2.0009854035882135,1.697010499236092,0.7352630884492157,0.6347531095033762,-0.5860802614973928,-0.8762985089921788,-1.9886492336640236,-0.9943911960666452,2.2951108855941684,-1.9234223849495051,1.7472008724803056
Chandigarh,63727.821723366746,45233.8650646734,91611.33170107247,Chandigarh,25.3,20.56,8.41,54.58,12.06,0.56,18.63,84.98,95.81,0.946,0.785,0.943,0.19699999999999998,0.934,0.19,0.7012053094087263,-1.57529887115002,-0.16980062302091378,-2.1453885265845143,-1.9765350805520672,-0.7404853883244127,0.76895,-1.1488938773298534,-0.6804196988005135,-1.8343818365942346,-0.529045526297885,-1.6815418308506012,-0.8679807566444331,-0.6446727935715687,0.6523002161074543,1.7296854021237125,-2.2462694262711675,0.2588938548829217,-1.710019296253209
Chhattisgarh,29996.707104568053,0.0,61556.37696225164,Chhattisgarh,35.67333333333334,33.218148148148146,19.08185185185185,68.99259259259259,45.7925925925926,21.00777777777778,37.85333333333333,72.79962962962962,28.25555555555556,0.91,0.479,0.86,0.45,0.785,0.48200000000000004,-0.1774009678412175,0.8624914368543972,-0.7644749599016895,1.2344855002017556,0.8829879337924151,1.0654728997180973,0.7278000000000001,0.7528025964933875,0.9236068096587389,0.5462795246764159,0.6465850770653169,0.4422438352619164,0.49633609074307106,1.0138206074466964,-0.25363190591908835,-1.3656241053390266,1.4984386543927064,-0.12154382047867171,1.1407175752361842
Goa,50528.82148402712,33495.96293429627,64122.82550195673,Goa,26.24,23.44,19.53,52.6,18.055,2.58,37.465,87.955,96.465,0.9390000000000001,0.904,0.9259999999999999,0.076,0.767,0.131,-0.07326261685282455,-2.0222516725131827,0.6842374867744865,-0.8808421056586235,-1.1690672360109013,0.9713247295305572,0.7382500000000001,-0.9765679115142518,-0.3154692897599552,0.6462517689721574,-0.6905534978654359,-1.304099894438622,-0.7332022950593393,0.9803171426957644,0.8735700117768124,1.7596971614396435,-1.658537011889611,-0.024932065739214974,-1.2625957780093109
Gujarat,5802.213783187488,0.0,59110.72856828541,Gujarat,38.65272727272727,40.32909090909092,26.133333333333333,79.83757575757575,44.21333333333333,9.74969696969697,6.304242424242425,71.73,59.842121212121214,0.96,0.8059999999999999,0.9590000000000001,0.42200000000000004,0.938,0.43700000000000006,1.6215245419353892,-0.44947644196328496,-0.0921833636518011,3.740527608096197,-0.47257859530990465,-0.7307948669090385,0.8273,1.2990014668670158,1.8246975975997322,2.1193138710785786,1.531206911742423,0.3428145320239905,-0.25482569723405857,-1.7080777321156033,-0.3331871091426302,0.08165590397654339,0.8620700240061976,0.7983480069448665,0.6562687265076571
Haryana,3876.035585972685,0.0,14028.852401123804,Haryana,26.538636363636364,20.905454545454543,11.539545454545454,69.61727272727272,29.09363636363636,2.5309090909090908,15.90318181818182,85.03090909090909,57.82818181818182,0.941,0.752,0.895,0.406,0.8690000000000001,0.408,0.8174096250787428,-0.2352450881039534,0.026564418659635654,-1.0097822195464816,-1.426918254827259,-0.4331622003891743,0.7858499999999999,-0.9218202521618092,-0.636644081554487,-1.1362473379707632,0.6975400373838688,-0.6091133582520333,-0.7364777392202732,-0.8799290772713472,0.6560866511135606,-0.010621751546786302,-0.9259741367900791,0.41513678838500945,-0.7049170608046613
Himachal Pradesh,147724.2492953846,104766.96008125613,196605.6069195898,Himachal Pradesh,31.54083333333333,24.674166666666665,16.103333333333335,59.94,33.4525,1.82,33.73583333333333,80.8925,53.64666666666667,0.99,0.765,0.975,0.902,0.966,0.85,3.2358104596948545,1.7278192370306409,-0.29208586759372623,-0.29465920944702734,-0.5475891870047797,0.6780708054730622,0.92685,-0.004790013860843183,-0.1590770571821008,-0.11816410228750993,-0.09183202750895919,-0.3346816766065196,-0.7839110231804637,0.6585832269008647,0.348286673318041,-0.2022166008646354,-0.19215970390177872,1.718702091568115,-0.1462855692158974
Jharkhand,47518.073237837016,25621.3433757678,69340.19938078392,Jharkhand,40.1775,40.38916666666667,23.09583333333333,68.21208333333333,48.594166666666666,9.093333333333334,37.38583333333333,55.30375,28.04125,0.888,0.5489999999999999,0.7859999999999999,0.315,0.6890000000000001,0.266,-1.3624285680742463,0.05648469080748983,-0.053613966100469077,2.7007567862803716,0.6165191277220134,1.1571393346605368,0.6673999999999999,1.578531182693147,1.8323103310374715,1.4417127400616794,0.5829191845134709,0.6186294138307429,-0.2986195987932115,0.9734870372207883,-1.5549124809455888,-1.3754434744281874,2.426459447767472,-0.6799505177287417,1.8471926959118856
Karnataka,28035.50059312211,4244.181414620238,56745.343057424776,Karnataka,34.574666666666666,31.295333333333332,19.22533333333333,64.56,27.721666666666668,9.673333333333334,16.942,74.596,76.08066666666667,0.95,0.767,0.889,0.298,0.871,0.28300000000000003,0.5231245094121951,-0.9384053282480835,0.003075265129224919,1.141890032931242,-0.80085121346776,-0.5070496373073287,0.7666,0.5513889853840869,0.6799498467504365,0.5782871671889529,0.2850199061486602,-0.6954918234935341,-0.2599208325955113,-0.7903050214674676,-0.12002434128098932,0.8256976105759671,-0.30298974494525704,0.23716776649653595,-0.23065724189787432
Kerala,29637.265576850517,13484.264639867508,90607.73603479977,Kerala,23.275714285714287,19.36428571428572,15.051428571428572,38.294285714285714,18.032857142857143,2.7235714285714288,20.669285714285717,98.59785714285714,70.2192857142857,0.9329999999999999,0.653,0.8590000000000001,0.599,0.83,0.474,0.6721718439348007,0.6618487496190455,-0.11309248482722405,-2.1103670031564823,-1.4079894263425898,-0.8936353732042609,0.7814499999999999,-1.5199970590330574,-0.831939288268244,-0.3528215035677501,-1.8574660716586942,-1.3054939966700971,-0.7236229206680367,-0.46873338487031935,1.665147432058551,0.557132184008273,-2.1197218401385833,0.37445815481050054,-1.613682315635435
Ladakh,27220.808245723172,20199.65866441309,38584.77447213655,Ladakh,30.395,20.365,17.46,91.665,35.74,3.1450000000000005,23.735,42.32,75.775,0.9129999999999999,0.857,0.889,0.5710000000000001,0.87,0.222,0.8108800355901171,-0.5364248837491924,0.7869723691192727,0.579312062587274,-1.1355934777230223,1.0148185233734193,0.7900499999999999,-0.21485047751018063,-0.7051298827459679,0.18447914635323368,2.495966153289302,-0.19066192188718623,-0.6955043590219243,-0.2042388342063054,-2.5205970891882896,0.8116921228951994,0.9501753151852553,0.4539663931606763,0.7233407109526827
Lakshadweep,101164.74365923426,72106.25183111284,136143.90094473315,Lakshadweep,32.02,25.78,17.35,43.08,28.49,17.53,0.44,99.8,59.43,0.955,0.8,1.0,1.0,1.0,0.299,2.634371351455723,0.17310268689189337,0.08681675001449822,-0.09992889886736595,-0.5225159618406018,-2.5858890409860438,0.8864000000000001,0.08305345275615343,-0.01894708241450193,0.15994050457155187,-1.467096876311439,-0.6471179750960023,0.2642917646917268,-2.214015344179627,1.7545584923494348,0.06277272439307531,-1.4572215449401318,1.3447360170024665,-1.1093401938431233
Madhya Pradesh,2509.889019150853,0.0,18295.937450704223,Madhya Pradesh,34.66274509803922,31.944117647058825,18.22078431372549,67.36980392156863,47.10803921568628,10.558235294117647,17.701176470588234,64.16470588235295,37.56392156862745,0.907,0.43799999999999994,0.583,0.198,0.523,0.214,-3.1974775886893174,0.12461011108457852,0.0006837890017594903,1.31174996160242,0.02080236917513284,-0.4501041977853022,0.57405,0.5675360074625955,0.7621630761508588,0.35419381678625605,0.5142147202269933,0.5250636385424968,-0.20087839451227224,-0.7248070589213125,-0.8958664649713242,-0.9391196161651255,1.1742767271018844,-1.5429847095879106,0.8939425693998995
Manipur,81570.12365662519,53420.166211726464,164356.17357441192,Manipur,24.61333333333333,13.746666666666666,9.934444444444445,41.964444444444446,60.89888888888889,42.27444444444445,37.376666666666665,71.34777777777778,59.02222222222223,0.743,0.469,0.721,0.248,0.703,0.309,-2.5593214316109556,1.1356658516618579,0.45161165617471244,-3.0097125705848313,2.5315037598258794,-0.18631277728995202,0.5986,-1.2747773842731664,-1.543797749817759,-1.4943109626097133,-1.5580923889117873,1.3933280264357588,1.9152908513254128,0.9726961829026334,-0.3616154227599075,0.044088558712080644,-0.06833134296874685,-1.3160164245301422,-0.05201865530860307
Meghalaya,26184.306272096426,16409.156711069936,53208.297203151335,Meghalaya,42.99818181818182,25.439090909090908,13.696363636363635,41.93,59.27,27.866363636363637,34.480909090909094,83.3790909090909,26.654545454545453,0.768,0.657,0.773,0.184,0.743,0.223,-1.9123695040607394,0.15214780137197634,0.9401452795921307,0.05132991059502555,2.444128638850756,-0.4967117335369839,0.6356999999999999,2.095634074796009,-0.06214670469676526,-0.6551074402266279,-1.560902011312794,1.2907740687339775,0.9539547296883593,0.7228646501988404,0.5332303581475635,-1.438981555436568,0.8507429368132164,-0.9730215823450848,0.6476457459142321
Mizoram,53665.103354698076,31751.655336976335,119575.35448780806,Mizoram,29.2875,13.29125,10.03875,46.025,73.76375,62.62875,25.36,94.145,75.68875,0.986,0.9690000000000001,0.9790000000000001,0.89,0.971,0.434,2.991075077656047,-0.018645663214610825,0.6715313459627644,-2.283792231980061,3.830796892821207,-1.3119817165172212,0.9150000000000001,-0.4178834638301583,-1.601507645228831,-1.4710426293041032,-1.2268741610253593,2.2032926785540154,3.27337104410299,-0.0640419323515448,1.3339599395728894,0.8077401927562693,-0.9715195103192922,1.6091471352367708,-0.739589423202124
Nagaland,28041.327621301753,18235.756861979815,60326.31138664285,Nagaland,33.15636363636364,26.536363636363635,18.10363636363636,42.97363636363636,49.054545454545455,12.466363636363637,23.389090909090907,88.21363636363637,33.48909090909091,0.841,0.491,0.825,0.645,0.8320000000000001,0.615,0.0036084137251089893,2.088050040211674,-0.24880147181074144,-0.034944732684826216,0.6655733480211835,-0.8051093866060086,0.74175,0.29137787951582783,0.07689847955574532,0.32806062057993396,-1.475772924370853,0.6476146116922891,-0.07356423487126731,-0.23408214674098324,0.8928064539060512,-1.1258262375501433,0.053728789730716445,0.0074259382405070205,0.04090215809791499
Odisha,16542.43276341278,4773.55862178246,52430.91252473758,Odisha,31.645333333333333,30.244,18.46433333333333,64.65066666666667,51.3,25.421333333333333,29.66333333333333,59.641666666666666,32.33266666666667,0.963,0.767,0.946,0.447,0.9359999999999999,0.46299999999999997,1.576901542797502,-0.24545735571887858,-0.24083553127961604,0.6157808074327322,1.0474924421564846,0.2872336758059393,0.8245499999999999,0.014367500423976703,0.5467260515983626,0.4085243817720436,0.2924155573719552,0.7889872074823547,0.7908173916827353,0.30722822209870304,-1.2322738475122987,-1.1788129948489894,1.6554100372420915,0.7729238609607976,1.2602153035552601
