feature,importance
2020,0.15900367295741127
tb_cases_notification_in_2024_january_to_october,0.14680713298729875
2023__tb_patients_notified,0.14216033214889146
2021,0.1262168678183524
2022,0.11769374482979506
2024__tb_patients_notified,0.1137922871646466
2023__treated_successfully,0.08041628275717927
tb_deaths__2024_january_to_october,0.07779455043026592
Children under 5 years who are stunted (height-for-age)18 (%),0.010202261246010745
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,0.0029729590645552494
Population living in households that use an improved sanitation facility2 (%),0.0023554922548108177
Children under 5 years who are underweight (weight-for-age)18 (%),0.002193141664587566
Men age 15 years and above who consume alcohol (%),0.002033319625518258
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,0.0019809400782157044
Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),0.0019147776746399738
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,0.0017182319758313857
Children under 5 years who are wasted (weight-for-height)18 (%),0.0015790375138106563
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,0.0014936945270538236
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,0.0010695356613931223
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,0.0009269561378615955
Households using clean fuel for cooking3 (%),0.0009040456647838865
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,0.0008633436322386639
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,0.0004964952123468591
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,0.0004411347098129855
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,0.0003515004691396877
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,0.00034103521895694486
Women age 15 years and above who use any kind of tobacco (%),0.00033288811474840743
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,0.00033215443365745124
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,0.00026598457425582256
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,0.000237904387091129
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,0.0002297060657847273
Men age 15 years and above who use any kind of tobacco (%),0.00022162037810117522
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,0.00019911480168621285
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,0.00018104750578170153
percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,0.00011350421993017562
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,9.171168740513602e-05
percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,7.159040614956627e-05
