Year,India Incidence (per 100k),Global Incidence (per 100k),India Detection (%),Global Detection (%)
2014,136.9139035,230.634851528,50.0,54.0
2015,128.5131552,227.737202694,53.0,55.0
2016,120.7544123,220.345154841,58.0,58.0
2017,113.0118619,214.708355092,56.0,59.0
2018,107.0050258,210.895534243,67.0,65.0
2019,101.0540697,207.097415934,77.0,68.0
2020,100.5309048,210.500676083,59.0,57.0
2021,154.7977765,241.940139653,71.0,62.0
2022,89.64524763,202.580504836,81.0,70.0
2023,80.4818209,197.305373477,86.0,76.0
