Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
473851,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2023,,,,,,,76 [71-82],76.0,71.0,82.0,,2025-11-11T16:20:50.77+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
604633,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2015,,,,,,,55 [50-61],55.0,50.0,61.0,,2025-11-11T16:20:50.77+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
694222,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2022,,,,,,,70 [65-75],70.0,65.0,75.0,,2025-11-11T16:20:50.77+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1170547,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2016,,,,,,,58 [54-63],58.0,54.0,63.0,,2025-11-11T16:20:50.77+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1443175,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2004,,,,,,,40 [31-52],40.0,31.0,52.0,,2025-11-11T16:20:50.77+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2455401,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2003,,,,,,,37 [29-49],37.0,29.0,49.0,,2025-11-11T16:20:50.77+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
2641134,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2009,,,,,,,49 [40-62],49.0,40.0,62.0,,2025-11-11T16:20:50.77+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4793172,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2005,,,,,,,42 [33-55],42.0,33.0,55.0,,2025-11-11T16:20:50.77+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4802008,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2000,,,,,,,32 [25-42],32.0,25.0,42.0,,2025-11-11T16:20:50.77+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4838152,TB_1,GLOBAL,GLOBAL,YEAR,,,,,2012,,,,,,,50 [43-59],50.0,43.0,59.0,,2025-11-11T16:20:50.77+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
