Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1193881,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2005,,,,,,,,283 [268-300],282.962435513,267.646994249,300.153109867,,2025-04-07T06:46:44.38+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1476507,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2003,,,,,,,,301 [284-319],300.770985108,284.338185132,319.320041098,,2025-04-07T06:46:44.38+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1507008,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2000,,,,,,,,328 [309-349],327.628993081,308.78182934,348.620094874,,2025-04-07T06:46:44.38+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2095177,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,1989,,,,,,,,401 [374-433],401.213149163,374.278887813,432.603455286,,2025-04-07T06:46:44.38+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
2514840,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2004,,,,,,,,291 [275-309],290.933013442,275.283476686,308.990060089,,2025-04-07T06:46:44.38+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2580083,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2002,,,,,,,,311 [294-331],311.389220702,293.995627416,330.996884,,2025-04-07T06:46:44.38+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2809787,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2007,,,,,,,,269 [255-285],269.238638145,255.419175464,284.682757089,,2025-04-07T06:46:44.38+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
3085389,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,1990,,,,,,,,391 [366-420],391.180581567,366.154513278,420.454048329,,2025-04-07T06:46:44.38+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
3321191,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2008,,,,,,,,264 [250-279],264.202382018,250.320013145,279.491709138,,2025-04-07T06:46:44.38+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
3488843,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,2021,,,,,,,,242 [217-281],241.940139653,217.091241791,280.939884286,,2025-04-07T06:46:44.38+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3532378,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,1996,,,,,,,,366 [344-391],365.874909609,344.366848651,390.94356199,,2025-04-07T06:46:44.38+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
3868191,MDG_0000000026,GLOBAL,GLOBAL,YEAR,,,,1995,,,,,,,,371 [349-397],371.057550459,348.918658535,396.752412008,,2025-04-07T06:46:44.38+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
